ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test,chromosome_name,start_position,end_position,strand,gene_biotype,external_gene_name,description
ENSG00000132016,243.240573,1.735191781,0.389132222,4.459131577,8.23E-06,6.61E-04,TRUE,19,13882348,13906452,-1,protein_coding,BRME1,break repair meiotic recombinase recruitment factor 1 [Source:HGNC Symbol;Acc:HGNC:28153]
ENSG00000132182,4977.294781,1.489228549,0.486033307,3.064046284,0.002183651,0.034707627,TRUE,3,13316235,13420322,-1,protein_coding,NUP210,nucleoporin 210 [Source:HGNC Symbol;Acc:HGNC:30052]
ENSG00000134363,2245.192544,3.163907484,0.689531233,4.588490462,4.46E-06,4.20E-04,TRUE,5,53480626,53487134,1,protein_coding,FST,follistatin [Source:HGNC Symbol;Acc:HGNC:3971]
ENSG00000137142,451.6876056,6.331887784,1.022752449,6.191026764,5.98E-10,3.51E-07,TRUE,9,38406528,38424454,-1,protein_coding,IGFBPL1,insulin like growth factor binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:20081]
ENSG00000137745,376.9917162,-4.157800615,1.376503199,-3.020552817,0.002523137,0.038112675,TRUE,11,102942995,102955732,-1,protein_coding,MMP13,matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]
ENSG00000149243,290.624807,3.457646864,0.641461057,5.390267772,7.04E-08,1.75E-05,TRUE,11,75422394,75433203,-1,protein_coding,KLHL35,kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]
ENSG00000157060,41.1107385,2.820676058,0.892777159,3.159440214,0.001580725,0.027874185,TRUE,1,182899865,182953525,-1,protein_coding,SHCBP1L,SHC binding and spindle associated 1 like [Source:HGNC Symbol;Acc:HGNC:16788]
ENSG00000161860,35.36493401,2.459947854,0.624480103,3.939193328,8.18E-05,0.003400703,TRUE,19,12898786,12919293,-1,protein_coding,SYCE2,synaptonemal complex central element protein 2 [Source:HGNC Symbol;Acc:HGNC:27411]
ENSG00000163975,1374.663443,2.260208118,0.418069113,5.406302567,6.43E-08,1.63E-05,TRUE,3,196980590,197029835,-1,protein_coding,MELTF,melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037]
ENSG00000178222,591.6052548,4.018358288,0.720369948,5.578187013,2.43E-08,7.20E-06,TRUE,4,1056250,1113564,-1,protein_coding,RNF212,ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]
ENSG00000178803,53.72379621,3.418593859,0.757372293,4.513756169,6.37E-06,5.49E-04,TRUE,22,24429206,24495074,-1,lncRNA,ADORA2A-AS1,ADORA2A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37122]
ENSG00000196074,1469.375025,2.689546901,0.7843955,3.428814803,6.06E-04,0.014535969,TRUE,20,59863564,59933655,-1,protein_coding,SYCP2,synaptonemal complex protein 2 [Source:HGNC Symbol;Acc:HGNC:11490]
ENSG00000196632,200.6851816,3.695779808,0.537288023,6.878582161,6.05E-12,6.57E-09,TRUE,X,54192823,54358642,-1,protein_coding,WNK3,WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543]
ENSG00000203995,183.8454771,1.843342323,0.393792226,4.681002323,2.85E-06,3.08E-04,TRUE,1,52842511,52894998,1,protein_coding,ZYG11A,"zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:32058]"
ENSG00000214694,66.34007487,3.216217816,0.765798158,4.199824433,2.67E-05,0.001578865,TRUE,2,38889875,38975454,1,protein_coding,ARHGEF33,Rho guanine nucleotide exchange factor 33 [Source:HGNC Symbol;Acc:HGNC:37252]
ENSG00000228594,343.7970498,2.520121721,0.580117825,4.344154953,1.40E-05,9.98E-04,TRUE,1,1598012,1600135,-1,protein_coding,FNDC10,fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]
ENSG00000235109,139.0406852,-1.89484466,0.505052208,-3.751779773,1.76E-04,0.006036332,TRUE,6,28324693,28356271,-1,protein_coding,ZSCAN31,zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]
ENSG00000255571,997.3348109,2.61365121,0.761278414,3.433239615,5.96E-04,0.014394949,TRUE,15,89361579,89424983,1,lncRNA,MIR9-3HG,MIR9-3 host gene [Source:HGNC Symbol;Acc:HGNC:27388]
ENSG00000269210,132.0115882,2.823430179,0.814104645,3.468141591,5.24E-04,0.013120547,TRUE,2,38959287,38960377,-1,lncRNA,,"novel transcript, antisense to ARHGEF33"
ENSG00000288873,20.06943318,2.110040982,0.434117979,4.860524294,1.17E-06,1.56E-04,TRUE,9,136848770,136849648,-1,lncRNA,,"novel transcript, antisense to PHPT1and AJM1"
ENSG00000293480,252.4104971,2.456325547,0.835267158,2.940766345,0.003274014,0.045117697,TRUE,17,63849292,63864379,1,lncRNA,TCAM1P,"testicular cell adhesion molecule 1, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:146771]"
ENSG00000296074,130.8556637,2.187619318,0.685105602,3.193112582,0.001407481,0.02584037,TRUE,NA,NA,NA,NA,NA,NA,NA
ENSG00000305635,8.818233674,-1.393087156,0.427671021,-3.257380294,0.001124457,0.022056651,TRUE,NA,NA,NA,NA,NA,NA,NA
