ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,test,chromosome_name,start_position,end_position,strand,gene_biotype,external_gene_name,description
ENSG00000137745,435.0097745,-4.849058117,0.824586688,-5.880592283,4.09E-09,7.02E-07,TRUE,11,102942995,102955732,-1,protein_coding,MMP13,matrix metallopeptidase 13 [Source:HGNC Symbol;Acc:HGNC:7159]
ENSG00000149243,84.11707955,2.905082869,0.444321903,6.538239168,6.22E-11,1.89E-08,TRUE,11,75422394,75433203,-1,protein_coding,KLHL35,kelch like family member 35 [Source:HGNC Symbol;Acc:HGNC:26597]
ENSG00000157060,4.659641792,4.957750058,0.953992734,5.196842576,2.03E-07,1.66E-05,TRUE,1,182899865,182953525,-1,protein_coding,SHCBP1L,SHC binding and spindle associated 1 like [Source:HGNC Symbol;Acc:HGNC:16788]
ENSG00000161860,1.944360002,3.204822531,1.069112626,2.997647257,0.002720724,0.023367666,TRUE,19,12898786,12919293,-1,protein_coding,SYCE2,synaptonemal complex central element protein 2 [Source:HGNC Symbol;Acc:HGNC:27411]
ENSG00000163975,652.3181128,1.609176446,0.498570456,3.227580831,0.001248418,0.013550247,TRUE,3,196980590,197029835,-1,protein_coding,MELTF,melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037]
ENSG00000178222,45.46420827,6.760635981,1.295317677,5.21928798,1.80E-07,1.52E-05,TRUE,4,1056250,1113564,-1,protein_coding,RNF212,ring finger protein 212 [Source:HGNC Symbol;Acc:HGNC:27729]
ENSG00000178803,3.672104299,4.757301532,0.861561306,5.521721434,3.36E-08,4.17E-06,TRUE,22,24429206,24495074,-1,lncRNA,ADORA2A-AS1,ADORA2A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37122]
ENSG00000196074,69.69978571,2.71948637,0.704327095,3.861112814,1.13E-04,0.002292738,TRUE,20,59863564,59933655,-1,protein_coding,SYCP2,synaptonemal complex protein 2 [Source:HGNC Symbol;Acc:HGNC:11490]
ENSG00000196632,24.89445631,4.620717669,0.884587424,5.22358508,1.75E-07,1.50E-05,TRUE,X,54192823,54358642,-1,protein_coding,WNK3,WNK lysine deficient protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:14543]
ENSG00000203995,18.38978979,1.972244529,0.343755421,5.737348154,9.62E-09,1.45E-06,TRUE,1,52842511,52894998,1,protein_coding,ZYG11A,"zyg-11 family member A, cell cycle regulator [Source:HGNC Symbol;Acc:HGNC:32058]"
ENSG00000214694,18.41327762,6.154741287,0.719255302,8.557102424,1.16E-17,2.11E-14,TRUE,2,38889875,38975454,1,protein_coding,ARHGEF33,Rho guanine nucleotide exchange factor 33 [Source:HGNC Symbol;Acc:HGNC:37252]
ENSG00000228594,54.88299173,2.544564517,0.484589573,5.250968361,1.51E-07,1.36E-05,TRUE,1,1598012,1600135,-1,protein_coding,FNDC10,fibronectin type III domain containing 10 [Source:HGNC Symbol;Acc:HGNC:42951]
ENSG00000235109,31.79227169,-3.627799013,0.590832342,-6.140149672,8.24E-10,1.74E-07,TRUE,6,28324693,28356271,-1,protein_coding,ZSCAN31,zinc finger and SCAN domain containing 31 [Source:HGNC Symbol;Acc:HGNC:14097]
ENSG00000255571,40.21896047,5.943569206,0.706655639,8.410842398,4.07E-17,6.03E-14,TRUE,15,89361579,89424983,1,lncRNA,MIR9-3HG,MIR9-3 host gene [Source:HGNC Symbol;Acc:HGNC:27388]
ENSG00000269210,1.378459248,4.019630525,1.133949505,3.544805573,3.93E-04,0.005839348,TRUE,2,38959287,38960377,-1,lncRNA,,"novel transcript, antisense to ARHGEF33"
ENSG00000288873,6.009802464,2.241226832,0.694717807,3.22609671,0.001254909,0.013591833,TRUE,9,136848770,136849648,-1,lncRNA,,"novel transcript, antisense to PHPT1and AJM1"
ENSG00000293480,13.75467595,4.599556529,0.692869805,6.638413876,3.17E-11,1.03E-08,TRUE,17,63849292,63864379,1,lncRNA,TCAM1P,"testicular cell adhesion molecule 1, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:146771]"
ENSG00000296074,5.01586477,4.842367571,1.059031129,4.572450645,4.82E-06,2.07E-04,TRUE,NA,NA,NA,NA,NA,NA,NA
ENSG00000305635,6.997916879,3.750426719,0.731601106,5.126327293,2.95E-07,2.20E-05,TRUE,NA,NA,NA,NA,NA,NA,NA
